id,author,text,like_count,timestamp,parent
UgyYmn64nWKw1IpEp514AaABAg,@Hellolesmoutons,"Va jouer au ballon, traître !",1,1758744000,root
Ugxgt4gxj0sPDcRW4pt4AaABAg,@AmneyAitmenguellet,Tellement 😂😂,0,1758744000,root
UgxLXSXHZxz3PytVSll4AaABAg,@josephpischedda3043,HAHAHA LES AFRICAINS VONT FAIRE LA FETE UN BON MOMMENT,0,1758744000,root
UgzQmrKToOFNhdo2x_l4AaABAg,@thiernosonko4534,Ahhhhhhhh DEMBELE ch8 hyper content walah😊,0,1758744000,root
UgztbgfuhSufl9oDuzp4AaABAg,@freddymuka8317,Denbele ❤❤🎉😢😮😊,0,1758740400,root
UgzBGmaT-hlpiU8bTD54AaABAg,@guimbetraore,Félicitations frère Ousmane❤❤❤,1,1758740400,root
UgyP0bnmeLIzk_ztMdl4AaABAg,@maca766,"Le beau foutage de g....
Quelle corruption de franchouillards, à 🤮
Dembelé est un excellent joueur, mais entre lui et Lamine Yamal, il n'y a pas photo.
Quelle honte pour cette pseudo cérémonie truquée☹️",1,1758740400,root
UgyP0bnmeLIzk_ztMdl4AaABAg.ANTDkJG6KbZANUwjf3R4Lh,@Ljey-dz4nv,Revoit les critères pour le ballon d'or et reviens te plaindre après le footix merci au revoir 😂,0,1758798000,UgyP0bnmeLIzk_ztMdl4AaABAg
UgxSZgW6zpR81MyWiXZ4AaABAg,@Ab2oulFall,Toi aussi tu est exceptionnel,0,1758740400,root
Ugx2e-gaaDcvGV3Hy7Z4AaABAg,@safiyaba2043,Bravooooo👏👏👏👏👏👏👏👏💫💫💫,0,1758736800,root
Ugz5TyZ3cytX1MbOesN4AaABAg,@safiyaba2043,"Félicitations Ousmane,tu mérites amplement 🎉🎉🎉🎉🎉",0,1758736800,root
UgxHjfwRiEp2VLCM9U54AaABAg,@LoicExtra,TOP,0,1758736800,root
UgxMkoyFIZx4umXYc-54AaABAg,@fabricelavigne1967,Très beau discours Dembelé respect pour toi et t'a famille bravo pour Évreux s'a fait énormément plaisir allez PSG.... bravo pour cette saison inoubliable......😊😊😊,1,1758736800,root
UgxM_f3ClCGRlQ659tR4AaABAg,@adementia2872,"En un mot ""exceptionnel""",0,1758736800,root
UgxB3qRpCM5gjTAUQ5V4AaABAg,@Lalla.Z_Al-idrissi5640,HAKIMI LE MÉRITAIT AUTANT,0,1758736800,root
UgwjehDIkyCnqzdnaE54AaABAg,@JulienLeBihan-o2u,C'était mérité bravo Ousmane Dembelé 😊,0,1758733200,root
Ugz65TFyTlcM6CeN0vh4AaABAg,@CheikKourouma,Ouais mais que c’est merité,1,1758733200,root
Ugyw4B2DeLoXqQ4Cllt4AaABAg,@futurvigile,Bravo l'Afrique! Les 🧑🏼🧑🏻‍🦰🧑🏻👩🏼👩🏻‍🦰👩🏻 d'Afrique sont venus vivre en 🇨🇵!,0,1758729600,root
UgwPpT-Ni6q6uSSluX94AaABAg,@AkaminaX,"He doesn’t deserve it at all, he relies on other players to give him ball ⚽️ to score. He’s selfish and he wanna score that’s it. Lot of players deserve it more than him.. shame",0,1758729600,root
UgwPpT-Ni6q6uSSluX94AaABAg.ANSuLhsWN-LANSvp6euB0m,@Djibril-0710,"La ferme et la joue en face. C’est peut-être des fois il faisait un peu l’égoïste mais il faisait beaucoup de passe et en plus lui il faisait beaucoup d’efforts défensif et de retour défensif et pendant la finale de la ligue des champions il a fait que des retours défensif il donner sa vie sur le terrain, il il a joué collectif, il aimerait ce ballon d’or, il dit pas que le mérite pas Hakimi aussi le méritemais on peut avoir quelqu’un Sinker",1,1758729600,UgwPpT-Ni6q6uSSluX94AaABAg
UgwPpT-Ni6q6uSSluX94AaABAg.ANSuLhsWN-LANSzmpMBQVi,@Ananisbel,​ @Djibril-0710  completement d'accord avec toi,0,1758733200,UgwPpT-Ni6q6uSSluX94AaABAg
Ugxz6qnqzo3z6ruo_lR4AaABAg,@AzNar93,Trop fière de lui ! 🙃,0,1758729600,root
UgzJovJgZexl_qHKs1h4AaABAg,@kevinehui06,Félicitations à Dembélé. Tu le mérites🎉🎉,0,1758729600,root
UgyWslw1NrUZgmrST1d4AaABAg,@BouzMed-n6j,Bravo la France et paris saint germain ont eu le ballon d'or mais ce qui n'est pas juste c'est que hakimi classé 6 ème en plus il y a journaliste qui parle Mal de hakimi qu'elle horreur,0,1758726000,root
